variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
raw_softmax,0.1,policy,6,89.803581,0.036565,0.002036,0.034529
raw_softmax,0.1,research,7,154477.784622,0.06073,0.078628,-0.017898
raw_softmax,0.1,policy,7,88.308638,0.035956,0.004479,0.031477
raw_softmax,0.1,research,8,131610.090738,0.05174,0.018228,0.033512
raw_softmax,0.1,policy,8,88.832976,0.03617,0.011401,0.024769
raw_softmax,0.1,research,9,207516.94317,0.081581,0.142829,-0.061248
raw_softmax,0.1,policy,9,122.522732,0.049887,0.03013,0.019757
raw_softmax,0.1,research,10,105970.866872,0.04166,0.006224,0.035436
raw_softmax,0.1,policy,10,85.593863,0.034851,0.000814,0.034037
raw_softmax,0.1,research,11,171493.071703,0.067419,0.077127,-0.009708
raw_softmax,0.1,policy,11,91.774416,0.037367,0.035423,0.001944
raw_softmax,0.1,research,12,147955.098722,0.058165,0.037825,0.02034
raw_softmax,0.1,policy,12,95.341944,0.03882,0.004479,0.034341
raw_softmax,0.1,research,13,129152.011095,0.050773,0.020028,0.030745
raw_softmax,0.1,policy,13,343.089831,0.139695,0.155537,-0.015842
raw_softmax,0.1,research,14,125053.005562,0.049162,0.034446,0.014716
raw_softmax,0.1,policy,14,82.386105,0.033545,0.002036,0.031509
raw_softmax,0.1,research,15,135099.913755,0.053112,0.039452,0.01366
raw_softmax,0.1,policy,15,86.460825,0.035204,0.002443,0.032761
raw_softmax,0.1,research,16,154623.046669,0.060787,0.074819,-0.014032
raw_softmax,0.1,policy,16,320.944504,0.130678,0.125814,0.004864
raw_softmax,0.1,research,17,120822.306906,0.047499,0.008055,0.039444
raw_softmax,0.1,policy,17,521.488954,0.212333,0.593648,-0.381315
raw_softmax,0.2,research,1,132346.499979,0.052029,0.006102,0.045927
raw_softmax,0.2,policy,1,137.342039,0.055921,0.013844,0.042077
raw_softmax,0.2,research,2,136880.90453,0.053812,0.030593,0.023219
raw_softmax,0.2,policy,2,125.156856,0.05096,0.006515,0.044445
raw_softmax,0.2,research,3,169845.045414,0.066771,0.2172,-0.150429
raw_softmax,0.2,policy,3,95.149826,0.038742,0.003257,0.035485
raw_softmax,0.2,research,4,186968.323915,0.073503,0.159668,-0.086165
raw_softmax,0.2,policy,4,93.340138,0.038005,0.000814,0.037191
raw_softmax,0.2,research,5,141197.263252,0.055509,0.022973,0.032536
raw_softmax,0.2,policy,5,127.930946,0.052089,0.007329,0.04476
raw_softmax,0.2,research,6,142315.416664,0.055948,0.025802,0.030146
raw_softmax,0.2,policy,6,126.054376,0.051325,0.002036,0.049289
raw_softmax,0.2,research,7,147957.199814,0.058166,0.078628,-0.020462
raw_softmax,0.2,policy,7,117.185892,0.047714,0.004479,0.043235
raw_softmax,0.2,research,8,146125.646487,0.057446,0.018228,0.039218
raw_softmax,0.2,policy,8,122.830606,0.050012,0.011401,0.038611
raw_softmax,0.2,research,9,179019.290789,0.070378,0.142829,-0.072451
